FrameNumber,FrameURL,networkID_x,lane_x,latitude,longitude,gps_curvature,networkID_y,lane_y,loc
10,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000010.jpg,10009,L1,-37.69781016,175.2243687,-0.0003859773575444,10009,R1,56.40870663827551
10,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000010.jpg,10009,L1,-37.72337532,175.2305309,-0.0002097414122124,10009,L1,60.712977977779765
10,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000010.jpg,10009,L1,-37.72337532,175.2305309,-0.0002097414122124,10009,R1,56.40870663827551
11,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000011.jpg,10009,L1,-37.69812944,175.22432158,-0.0003843314532433,10009,L1,65.32889600787247
11,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000011.jpg,10009,L1,-37.69812944,175.22432158,-0.0003843314532433,10009,R1,56.908414896467576
11,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000011.jpg,10009,L1,-37.69781774,175.22448668,-0.000385977326819,10009,L1,65.32889600787247
11,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7175345834/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7175345834-0000011.jpg,10009,L1,-37.69781774,175.22448668,-0.000385977326819,10009,R1,56.908414896467576
11,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000011.jpg,10009,L1,-37.7233829,175.23064888000002,-0.0002112506980758,10009,L1,65.32889600787247
11,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_11_2025/video_5399854598/10009~Juno+App+WW+Geometry+Test~LonrixTestVideos~4518~video_5399854598-0000011.jpg,10009,L1,-37.7233829,175.23064888000002,-0.0002112506980758,10009,R1,56.908414896467576
12,https://2-lonrix-contractors.s3.ap-southeast-2.amazonaws.com/JunoAppWWGeometryTest/LonrixTestVideos/4518_23_10_2025/video_7026153680/10009~Juno+App+WW+Geometry+Test~Lonrix+Test+Videos~4518~video_7026153680-0000012.jpg,10009,L1,-37.69814742,175.22443712,-0.0003310722966328,10009,L1,65.32889600787247
