FrameNumber,networkID,lane,latitude,longitude,loc,gradient,crossfall,curvature
41,10009,L1,-37.7072975,175.2068173,0.0,-0.6,0.2,-35.0
41,10009,L1,-37.6223104,175.2063805,0.0,-0.6,0.2,-35.0
42,10009,L1,-37.7497483,175.2366095,0.0,-0.6,0.2,-35.0
42,10009,L1,-37.70721325,175.20690425,0.0,-0.6,0.2,-35.0
42,10009,L1,-37.6223104,175.2063805,0.0,-0.6,0.2,-35.0
43,10009,L1,-37.7497483,175.2366095,0.0,-0.6,0.2,-35.0
43,10009,L1,-37.707129,175.2069912,0.0,-0.6,0.2,-35.0
43,10009,L1,-37.6223104,175.2063805,0.0,-0.6,0.2,-35.0
44,10009,L1,-37.7497483,175.2366095,0.0,-0.6,0.2,-35.0
44,10009,L1,-37.70704475,175.20707815,0.0,-0.6,0.2,-35.0
44,10009,L1,-37.6223104,175.2063805,0.0,-0.6,0.2,-35.0
45,10009,L1,-37.7497483,175.2366095,0.0,-0.6,0.2,-35.0
45,10009,L1,-37.7069605,175.2071651,0.0,-0.6,0.2,-35.0
45,10009,L1,-37.6223104,175.2063805,0.0,-0.6,0.2,-35.0
46,10009,L1,-37.7497485,175.2366091,0.0,-0.6,0.2,-35.0
46,10009,L1,-37.7069605,175.2071651,0.0,-0.6,0.2,-35.0
46,10009,L1,-37.622932,175.2060873,0.0,-0.6,0.2,-35.0
46,10009,L1,-37.7125824,175.2074679,0.0,-0.6,0.2,-35.0
47,10009,L1,-37.7497485,175.2366091,0.0,-0.6,0.2,-35.0
47,10009,L1,-37.7068505413,175.20722559,0.0,-0.6,0.2,-35.0
47,10009,L1,-37.622932,175.2060873,0.0,-0.6,0.2,-35.0
47,10009,L1,-37.7126713322,175.2074843682,0.0,-0.6,0.2,-35.0
48,10009,L1,-37.7497485,175.2366091,0.0,-0.6,0.2,-35.0
48,10009,L1,-37.7067405826,175.2072860799,0.0,-0.6,0.2,-35.0
48,10009,L1,-37.622932,175.2060873,0.0,-0.6,0.2,-35.0
48,10009,L1,-37.7127602645,175.2075008363,0.0,-0.6,0.2,-35.0
49,10009,L1,-37.7497485,175.2366091,0.0,-0.6,0.2,-35.0
49,10009,L1,-37.7066306239,175.2073465699,0.0,-0.6,0.2,-35.0
49,10009,L1,-37.622932,175.2060873,0.0,-0.6,0.2,-35.0
49,10009,L1,-37.7128491967,175.2075173045,0.0,-0.6,0.2,-35.0
50,10009,L1,-37.7497485,175.2366091,0.0,-0.6,0.2,-35.0
50,10009,L1,-37.7065206652,175.2074070598,0.0,-0.6,0.2,-35.0
50,10009,L1,-37.622932,175.2060873,0.0,-0.6,0.2,-35.0
50,10009,L1,-37.712938129,175.2075337727,0.0,-0.6,0.2,-35.0
51,10009,L1,-37.7497486,175.236609,0.0,-0.6,0.2,-35.0
51,10009,L1,-37.7064107064,175.2074675498,0.0,-0.6,0.2,-35.0
51,10009,L1,-37.6235188,175.206056,0.0,-0.6,0.2,-35.0
51,10009,L1,-37.7130155,175.2075481,0.0,-0.6,0.2,-35.0
52,10009,L1,-37.7497486,175.236609,0.0,-0.6,0.2,-35.0
52,10009,L1,-37.7063007477,175.2075280397,0.0,-0.6,0.2,-35.0
52,10009,L1,-37.6235188,175.206056,0.0,-0.6,0.2,-35.0
52,10009,L1,-37.713229225,175.207605425,0.0,-0.6,0.2,-35.0
53,10009,L1,-37.7497486,175.236609,0.0,-0.6,0.2,-35.0
53,10009,L1,-37.706190789,175.2075885297,0.0,-0.6,0.2,-35.0
53,10009,L1,-37.6235188,175.206056,0.0,-0.6,0.2,-35.0
53,10009,L1,-37.71344295,175.20766275,0.0,-0.6,0.2,-35.0
54,10009,L1,-37.7497486,175.236609,0.0,-0.6,0.2,-35.0
54,10009,L1,-37.7060808303,175.2076490196,0.0,-0.6,0.2,-35.0
54,10009,L1,-37.6235188,175.206056,0.0,-0.6,0.2,-35.0
54,10009,L1,-37.713656675,175.207720075,0.0,-0.6,0.2,-35.0
55,10009,L1,-37.7497486,175.236609,0.0,-0.6,0.2,-35.0
55,10009,L1,-37.7059708716,175.2077095096,0.0,-0.6,0.2,-35.0
55,10009,L1,-37.6235188,175.206056,0.0,-0.6,0.2,-35.0
55,10009,L1,-37.7138704,175.2077774,0.0,-0.6,0.2,-35.0
56,10009,L1,-37.749749,175.2366083,0.0,-0.6,0.2,-35.0
56,10009,L1,-37.7059618,175.2077145,0.0,-0.6,0.2,-35.0
56,10009,L1,-37.6243825,175.2060572,0.0,-0.6,0.2,-35.0
56,10009,L1,-37.7138704,175.2077774,0.0,-0.6,0.2,-35.0
57,10009,L1,-37.749749,175.2366083,0.0,-0.6,0.2,-35.0
57,10009,L1,-37.705817079,175.2077929534,0.0,-0.6,0.2,-35.0
57,10009,L1,-37.6243825,175.2060572,0.0,-0.6,0.2,-35.0
57,10009,L1,-37.7140221956,175.2078295133,0.0,-0.6,0.2,-35.0
58,10009,L1,-37.749749,175.2366083,0.0,-0.6,0.2,-35.0
58,10009,L1,-37.7056723579,175.2078714068,0.0,-0.6,0.2,-35.0
58,10009,L1,-37.6243825,175.2060572,0.0,-0.6,0.2,-35.0
58,10009,L1,-37.7141739912,175.2078816265,0.0,-0.6,0.2,-35.0
59,10009,L1,-37.749749,175.2366083,0.0,-0.6,0.2,-35.0
59,10009,L1,-37.7055276369,175.2079498602,0.0,-0.6,0.2,-35.0
59,10009,L1,-37.6243825,175.2060572,0.0,-0.6,0.2,-35.0
59,10009,L1,-37.7143257867,175.2079337398,0.0,-0.6,0.2,-35.0
60,10009,L1,-37.749749,175.2366083,0.0,-0.6,0.2,-35.0
60,10009,L1,-37.7053829158,175.2080283136,0.0,-0.6,0.2,-35.0
60,10009,L1,-37.6243825,175.2060572,0.0,-0.6,0.2,-35.0
60,10009,L1,-37.7144775823,175.207985853,0.0,-0.6,0.2,-35.0
61,10009,L1,-37.749749,175.2366081,0.0,-0.6,0.2,-35.0
61,10009,L1,-37.7053763,175.2080319,0.0,-0.6,0.2,-35.0
61,10009,L1,-37.6250689,175.2060581,0.0,-0.6,0.2,-35.0
61,10009,L1,-37.7144984,175.207993,0.0,-0.6,0.2,-35.0
62,10009,L1,-37.749749,175.2366081,0.0,-0.6,0.2,-35.0
62,10009,L1,-37.70522555,175.20810855,0.0,-0.6,0.2,-35.0
62,10009,L1,-37.6250689,175.2060581,0.0,-0.6,0.2,-35.0
62,10009,L1,-37.714712625,175.20806,0.0,-0.6,0.2,-35.0
63,10009,L1,-37.749749,175.2366081,0.0,-0.6,0.2,-35.0
63,10009,L1,-37.7050748,175.2081852,0.0,-0.6,0.2,-35.0
63,10009,L1,-37.6250689,175.2060581,0.0,-0.6,0.2,-35.0
63,10009,L1,-37.71492685,175.208127,0.0,-0.6,0.2,-35.0
64,10009,L1,-37.749749,175.2366081,0.0,-0.6,0.2,-35.0
64,10009,L1,-37.70492405,175.20826185,0.0,-0.6,0.2,-35.0
